Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Mitophagy	26/68	9.860202117415173e-40	1.712089640387543e-38	0	0	112.58147662734818	10111.493733318766	BECN1;BECN2;AMBRA1;HIF1A;GABARAP;MAPK9;MAPK8;NRAS;TBK1;RRAS;HRAS;ATG5;GABARAPL2;GABARAPL1;ATG9B;BNIP3;ATG9A;EIF2AK3;RRAS2;MRAS;ULK1;KRAS;RAB7B;SQSTM1;RAB7A;BCL2L1
KEGG_2021_Human	Apelin signaling pathway	30/137	2.1041142640667106e-37	3.3490485369728474e-36	0	0	52.75834445927904	4455.53471924732	BECN1;PRKAA1;PRKAA2;BECN2;PIK3R4;ITPR1;GABARAP;NRAS;RRAS;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;RRAS2;MTOR;MRAS;RPS6KB1;RPS6KB2;PIK3C3;KRAS;RAF1
KEGG_2021_Human	Spinocerebellar ataxia	30/143	8.62512401873084e-37	1.2672297596750694e-35	0	0	49.94184576485461	4147.219270905435	BECN1;BECN2;PIK3R4;ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;AMBRA1;MAPK9;MAPK8;ATG101;AKT2;RB1CC1;AKT3;AKT1;NRBF2;WIPI1;WIPI2;ATG14;ATG13;MTOR;ERN1;PIK3CA;ATG2A;ULK2;ULK1;PIK3C3;ATG2B
KEGG_2021_Human	Choline metabolism in cancer	27/98	1.0774813400928384e-36	1.469992399698087e-35	0	0	69.69718309859155	5772.211776081345	PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;HIF1A;MAPK9;MAPK8;NRAS;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;TSC2;TSC1;MTOR;PIK3CA;RPS6KB1;RHEB;RPS6KB2;KRAS;RAF1
KEGG_2021_Human	PI3K-Akt signaling pathway	39/354	1.6515552523402798e-36	2.1029803546466236e-35	0	0	25.21329365079365	2077.3571991326003	PRKAA1;PRKAA2;IRS1;PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;IGF1R;INS;PPP2CA;RPTOR;PPP2CB;NRAS;STK11;AKT2;AKT3;MLST8;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;PDPK1;TSC2;TSC1;MTOR;PIK3CA;RPS6KB1;RHEB;RPS6KB2;DDIT4;BCL2;KRAS;RAF1;BCL2L1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	31/193	3.6967196074338286e-34	4.3862283200349014e-33	0	0	36.25314577397911	2790.783378727687	BECN1;BECN2;ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;HIF1A;GABARAP;MAPK9;NRAS;MAPK8;TBK1;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;ATG3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;ATG14;MTOR;PIK3CA;PIK3C3;KRAS;RAF1
KEGG_2021_Human	Growth hormone synthesis, secretion and action	27/119	3.903972850292844e-34	4.3862283200349014e-33	0	0	53.73097826086956	4133.303777185942	IRS1;IRS4;ITPR1;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;MAPK9;MAPK8;NRAS;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;MTOR;PIK3CA;KRAS;RAF1
KEGG_2021_Human	Proteoglycans in cancer	31/205	2.640911291629397e-33	2.8023003150067485e-32	0	0	33.7323717948718	2530.4063454197294	ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;HIF1A;IGF1R;NRAS;RRAS;CTSL;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;RRAS2;MTOR;MRAS;PIK3CA;RPS6KB1;RPS6KB2;KRAS;RAF1
KEGG_2021_Human	Colorectal cancer	24/86	8.189102780817496e-33	8.232203321769165e-32	0	0	69.06015693112467	5102.337301886338	MAP2K1;MAP2K2;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;MTOR;MAPK9;MAPK8;NRAS;PIK3CA;RPS6KB1;AKT2;AKT3;RPS6KB2;BCL2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	24/89	2.0952544987492998e-32	2.000968046305581e-31	0	0	65.86278586278586	4804.23234735566	MAP2K1;MAP2K2;PTEN;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;HIF1A;MTOR;NRAS;PIK3CA;RPS6KB1;AKT2;TRAF6;AKT3;RPS6KB2;AKT1;MAPK1;PRKCQ;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Thyroid hormone signaling pathway	26/121	3.312471465707886e-32	3.012771666429554e-31	0	0	49.63978754225012	3598.141409703456	PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;HIF1A;NRAS;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;BAD;TSC2;MTOR;PIK3CA;RHEB;KRAS;RAF1
KEGG_2021_Human	Prostate cancer	24/97	2.158405050984888e-31	1.8738880215368803e-30	0	0	58.621251388374674	4139.29160136234	MAP2K1;MAP2K2;PDPK1;BAD;PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MTOR;IGF1R;INS;NRAS;PIK3CA;AKT2;AKT3;BCL2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	ErbB signaling pathway	23/85	4.067613769087166e-31	3.377887956068038e-30	0	0	65.59173387096774	4589.918097161367	MAP2K1;MAP2K2;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;MTOR;MAPK9;MAPK8;NRAS;PIK3CA;RPS6KB1;AKT2;AKT3;RPS6KB2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Sphingolipid signaling pathway	25/119	1.0250207022501731e-30	7.831158165191319e-30	0	0	47.802224371373306	3300.8793502101244	PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PPP2CA;MAPK9;PPP2CB;MAPK8;NRAS;AKT2;AKT3;AKT1;MAPK1;CTSD;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;PIK3CA;BCL2;KRAS;RAF1
KEGG_2021_Human	Neurotrophin signaling pathway	25/119	1.0250207022501731e-30	7.831158165191319e-30	0	0	47.802224371373306	3300.8793502101244	IRS1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK9;MAPK8;NRAS;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;BAD;PRKCD;PIK3CA;TRAF6;BCL2;KRAS;RAF1
KEGG_2021_Human	Cellular senescence	27/156	1.0778027917323052e-30	7.917705123879627e-30	0	0	38.24806201550388	2639.2168054220524	ITPR1;PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NRAS;RRAS;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;TSC2;RRAS2;TSC1;MTOR;MRAS;PIK3CA;RHEB;KRAS;RAF1;SQSTM1
KEGG_2021_Human	Ras signaling pathway	30/232	4.109180672900716e-30	2.906864846385322e-29	0	0	27.81188118811881	1881.8722824608333	PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;IGF1R;INS;MAPK9;NRAS;MAPK8;TBK1;RRAS;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;RRAS2;MRAS;PIK3CA;KRAS;RAF1;BCL2L1
KEGG_2021_Human	Acute myeloid leukemia	21/67	5.1311241462775196e-30	3.5001596854964505e-29	0	0	79.36670480549199	5352.667402911565	MAP2K1;MAP2K2;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;MTOR;NRAS;PIK3CA;RPS6KB1;AKT2;AKT3;RPS6KB2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Human immunodeficiency virus 1 infection	29/212	7.649347185357082e-30	5.038018318631733e-29	0	0	29.424579853593155	1972.7101204024611	ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK9;NRAS;MAPK8;TBK1;AKT2;AKT3;AKT1;MAPK1;MAP3K7;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;MTOR;PIK3CA;RPS6KB1;TRAF6;RPS6KB2;BCL2;KRAS;RAF1;BCL2L1
KEGG_2021_Human	Endometrial cancer	20/58	1.3245004783558778e-29	8.432653045532421e-29	0	0	90.74141876430204	6033.753756658257	MAP2K1;MAP2K2;PDPK1;BAD;PTEN;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Amyotrophic lateral sclerosis	34/364	2.7349144320765857e-29	1.685060182343961e-28	0	0	19.927692769276927	1310.621786273906	RAB1A;BECN1;BECN2;WDR41;PIK3R4;AMBRA1;TANK;GABARAP;TBK1;ATG101;RB1CC1;NRBF2;RAB8A;GABARAPL2;GABARAPL1;BAD;EIF2AK3;RAB39B;WIPI1;WIPI2;ATG14;ATG13;EIF2S1;MTOR;ERN1;ATG2A;BCL2;ULK2;ULK1;PIK3C3;SMCR8;SQSTM1;ATG2B;BCL2L1
KEGG_2021_Human	Hepatitis C	26/157	4.839939901020676e-29	2.888839128421716e-28	0	0	35.93276840114854	2342.7469839811183	PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PPP2CA;PPP2CB;NRAS;TBK1;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;EIF2AK3;EIF2AK4;CFLAR;EIF2S1;PIK3CA;TRAF6;KRAS;RAF1
KEGG_2021_Human	Pancreatic cancer	21/76	1.0946493253786148e-28	6.3356976105247105e-28	0	0	66.34928229665071	4271.696078664847	MAP2K1;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;MTOR;MAPK9;MAPK8;PIK3CA;RPS6KB1;AKT2;AKT3;RPS6KB2;AKT1;MAPK1;KRAS;RAF1;MAPK3;BCL2L1
KEGG_2021_Human	Insulin resistance	23/108	1.8877029704612502e-28	1.060444903994408e-27	0	0	47.78781512605042	3050.631799486275	PRKAA1;PRKAA2;IRS1;PDPK1;PRKCD;PTEN;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;MTOR;INS;MAPK9;MAPK8;PIK3CA;RPS6KB1;AKT2;AKT3;RPS6KB2;AKT1;PRKCQ
KEGG_2021_Human	Lipid and atherosclerosis	28/215	3.331368494793465e-28	1.8179753785872907e-27	0	0	27.536808436203707	1742.2263171127672	ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;TANK;MAPK9;NRAS;MAPK8;TBK1;AKT2;AKT3;AKT1;MAPK1;MAP3K7;HRAS;MAPK3;BAD;PDPK1;EIF2AK3;EIF2S1;ERN1;PIK3CA;TRAF6;BCL2;KRAS;BCL2L1
KEGG_2021_Human	Phospholipase D signaling pathway	25/148	3.6063654736334564e-28	1.9133772373999728e-27	0	0	36.47819660014782	2305.045647935777	PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;INS;NRAS;RRAS;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;TSC2;RRAS2;TSC1;MTOR;MRAS;PIK3CA;RHEB;KRAS;RAF1
KEGG_2021_Human	Fc epsilon RI signaling pathway	20/68	5.5736812452145885e-28	2.8772246427999634e-27	0	0	71.80072463768116	4505.806142871121	MAP2K1;MAP2K2;PDPK1;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;MAPK9;MAPK8;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Central carbon metabolism in cancer	20/70	1.0868204957735456e-27	5.322633710070442e-27	0	0	68.92173913043479	4279.1123860086045	MAP2K1;MAP2K2;PTEN;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;HIF1A;MTOR;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Prolactin signaling pathway	20/70	1.0868204957735456e-27	5.322633710070442e-27	0	0	68.92173913043479	4279.1123860086045	MAP2K1;MAP2K2;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;INS;MAPK9;MAPK8;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Human cytomegalovirus infection	28/225	1.2298266922192157e-27	5.872422455346755e-27	0	0	26.125717538782677	1618.825856885186	ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NRAS;TBK1;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;TSC2;TSC1;MTOR;PIK3CA;RPS6KB1;RHEB;RPS6KB2;KRAS;RAF1
KEGG_2021_Human	Estrogen signaling pathway	24/137	1.8190757058752463e-27	8.47423072737005e-27	0	0	37.79382922745754	2327.021584392543	MAP2K1;MAP2K2;PRKCD;ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NRAS;PIK3CA;AKT2;PRKACG;AKT3;BCL2;AKT1;MAPK1;KRAS;RAF1;PRKACA;PRKACB;CTSD;HRAS;MAPK3
KEGG_2021_Human	Melanoma	20/72	2.072090406392684e-27	9.423077800500061e-27	0	0	66.26421404682274	4071.3554491723103	MAP2K1;MAP2K2;BAD;PTEN;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;IGF1R;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	T cell receptor signaling pathway	22/104	3.584191612175555e-27	1.555864995285298e-26	0	0	46.97021368443773	2860.1696480414203	MAP2K1;MAP2K2;PDPK1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK9;MAPK8;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;PRKCQ;KRAS;RAF1;MAP3K7;HRAS;MAPK3
KEGG_2021_Human	C-type lectin receptor signaling pathway	22/104	3.584191612175555e-27	1.555864995285298e-26	0	0	46.97021368443773	2860.1696480414203	PRKCD;ITPR1;PIK3R3;PIK3CD;RRAS2;PIK3R2;PIK3R1;PIK3CB;MAPK9;MAPK8;NRAS;MRAS;RRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Glioma	20/75	5.24614909807847e-27	2.2266988394066395e-26	0	0	62.6403162055336	3790.509807306199	MAP2K1;MAP2K2;PTEN;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;MTOR;IGF1R;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Human papillomavirus infection	31/331	1.0023160967509467e-26	4.1617907495528446e-26	0	0	19.43958333333333	1163.7486928348228	PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PPP2CA;PPP2CB;NRAS;TBK1;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;TSC2;TSC1;MTOR;PIK3CA;RPS6KB1;RHEB;RPS6KB2;KRAS;RAF1
KEGG_2021_Human	Renal cell carcinoma	19/69	5.340930366069332e-26	2.1704631913175374e-25	0	0	64.91120689655172	3777.3007843905752	MAP2K1;MAP2K2;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;HIF1A;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Progesterone-mediated oocyte maturation	21/100	6.745197611647629e-26	2.6840265496347864e-25	0	0	46.13657561625583	2674.001256719664	MAP2K1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;IGF1R;INS;MAPK9;MAPK8;PIK3CA;AKT2;PRKACG;AKT3;AKT1;MAPK1;KRAS;PRKACA;RAF1;PRKACB;MAPK3
KEGG_2021_Human	Hepatitis B	24/162	1.2585603363964037e-25	4.905816821463532e-25	0	0	30.90795142969056	1772.0968508903231	MAP2K1;MAP2K2;BAD;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK9;NRAS;MAPK8;TBK1;PIK3CA;AKT2;TRAF6;AKT3;BCL2;AKT1;MAPK1;KRAS;RAF1;MAP3K7;HRAS;MAPK3
KEGG_2021_Human	Non-small cell lung cancer	19/72	1.337396897742337e-25	5.0205793430151845e-25	0	0	61.22771633051399	3506.750237890256	MAP2K1;MAP2K2;PDPK1;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	VEGF signaling pathway	18/59	1.340573541852222e-25	5.0205793430151845e-25	0	0	74.38649155722327	4260.228166906972	MAP2K1;MAP2K2;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Hepatocellular carcinoma	24/168	3.120189067617559e-25	1.1460694459902956e-24	0	0	29.61111111111111	1670.8582820056731	MAP2K1;MAP2K2;BAD;PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MTOR;IGF1R;NRAS;PIK3CA;RPS6KB1;AKT2;AKT3;RPS6KB2;AKT1;MAPK1;KRAS;RAF1;HRAS;BCL2L1;MAPK3
KEGG_2021_Human	Chronic myeloid leukemia	19/76	4.248859497219993e-25	1.5311927622056955e-24	0	0	56.91954022988506	3194.209434189699	MAP2K1;MAP2K2;BAD;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3;BCL2L1
KEGG_2021_Human	Pathways in cancer	35/531	5.485535729096599e-25	1.9402543041804642e-24	0	0	13.667641129032258	763.508774293896	PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;HIF1A;IGF1R;MAPK9;NRAS;MAPK8;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;DAPK1;DAPK2;DAPK3;MTOR;PIK3CA;RPS6KB1;TRAF6;RPS6KB2;BCL2;KRAS;RAF1;BCL2L1
KEGG_2021_Human	Relaxin signaling pathway	22/129	5.857475858816202e-25	2.0341416164252627e-24	0	0	35.95037631296005	2005.919859647542	MAP2K1;MAP2K2;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK9;MAPK8;NRAS;PIK3CA;AKT2;PRKACG;AKT3;AKT1;MAPK1;KRAS;PRKACA;RAF1;PRKACB;HRAS;MAPK3
KEGG_2021_Human	GnRH secretion	18/64	7.252487869217973e-25	2.47361639825113e-24	0	0	66.28428093645485	3684.297929865644	MAP2K1;MAP2K2;ITPR1;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;NRAS;PIK3CA;AKT2;AKT3;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2021_Human	Type II diabetes mellitus	16/46	6.197052649358129e-24	2.076556238644566e-23	0	0	88.89635854341736	4750.440801560252	IRS1;PRKCD;IRS4;PIK3CD;PIK3R3;IRS2;PIK3R2;PIK3CB;PIK3R1;MTOR;INS;MAPK9;MAPK8;PIK3CA;MAPK1;MAPK3
